1020003644;¼uboš Šesták;Šarišské Jastrabie;254;136
1020014358;Dušan Mlynár-DIMA;Švábovce;33;501
1020017504;Ján Kohút;Medzilaborce;Borov 119;614
1020025875;Anton Lesièko;Spišskı Štvrtok;Záhradná 324/12;878
1020029791;Iveta Dufincová;Sobrance;SNP 447/12;1017
1020045147;Eva Molnárová;Sliaè;Tajovského 946/11;1465
1020048392;Pavol Juhász;Jesenské;Školská 309/35;1580
1020060195;Michal Miadok;Banská Bystrica II;Kalinèiakova 6206/2;1940
1020065343;Peter Tichák;Varín;Dr. Jozefa Tisu 715/16;2101
1020094372;Iveta Rosinová;Šurany;¼. Podjavorinskej 6C;3097
1020103051;Ing. Stanislav Štank;Ve¾kı Cetín;Ulica pri Hostinci 294;3382
1020106923;Éva Balogh Rozbroy;Chotín;460;3515
1020107495;Ildikó Moráveková;Komárno;R. Seressa 12/25;3536
1020109706;Ing. Drahomíra Zemešová;Trnava;Starohájska ulica 8180/9B;3618
1020117296;Jaroslav Zemanoviè;Horná Súèa;173;3890
1020117615;Marián Matejka;Trenèín;Mateja Bela 2462/28;3904
1020119485;Michal Chlebana;Trenèín;Ruová 10;3965
1020127933;Martin Kolárik;Polianka;203;4257
1020133213;Otto Antal;Dunajská Streda;Hlavná 46/20;4431
1020134346;Široká Ágota - COMPUTERS;Ve¾kı Meder;Nezábudkova 1644/6;4472
1020181602;Peter Netolickı;Bratislava 3 - Nové Mesto;Jánoškova 1000/8;5939
1020184946;Jaroslav Duška;Nitra I;Piesková 1155/18;6046
1020194505;Karol Veselı;Bratislava 4 - Karlova Ves;Jána Stanislava 3010/7;6315
1020195429;Ing. Peter Hanulík;Bratislava 4 - Dúbravka;Gallayova 9;6341
1020201864;Ing. František Krivjanskı;Bratislava 5 - Petralka;Smolenická 2983/18;6543
1020245479;Alexander Nagy;Dolnı Štál;324;8050
1020254070;Ing. Peter Èepèek;Macov;Macov 80;8386
1020266511;Alena Palánkyová - AP;Galanta;Mierová 1435/33;8935
1020276829;Jozef Pápay;Vlèany;1573;9326
1020279095;Jaroslava Švédová;Ša¾a;Javorová 2086/21;9409
1020284342;Milan Mihoèko;Brezová pod Bradlom;Minárèinıch ulica 870/6;9622
1020291624;Anna Bojkovská;Gbely;Medlenova 794/20;9880
1020299412;Viera Tomovièová;Závod;939;10179
1020321225;Štefan Pánik;Trenèín;Pod Brezinou 2257/59;10976
1020329024;Peter Kabát;Piešany;Jarná 3439/15;11240
1020329497;Eva Glevaòáková;Moravany nad Váhom;Športová 554;11264
1020347889;Kamil Michalka;Trnava;Ulica Andreja Kubinu 6935/29;11964
1020355083;Branislav Šramka;Piešany;Kukuèínova 1681/14;12233
1020363663;Imrich Galgóczi;Bátorove Kosihy;1027;12566
1020393484;Ing. aneta Mikleová;Nitra I;Kasárenská 23/1;13693
1020422073;Ivan Hugyivár;Dubník;550;14786
1020423349;¼ubomír Kluèiar;Nové Zámky;Šoltésovej 5267/5;14843
1020426473;Ladislav Bréda;Štúrovo;Janka Krá¾a 41;14953
1020433513;Adriana Petreje;Bánovce nad Bebravou;5.apríla 790/35;15243
1020480329;Katarína Duchovná;Liptovskı Mikuláš;Nábreie Dr. Aurela Stodolu 1749/34;17116
1020502626;Jaroslav Plavnickı;Zliechov;74;17952
1020507070;Martina Prekopová;Ladce;Janka Krá¾a 431/431;18107
1020512394;Miroslav Mikoláš;Udièa;698;18342
1020541324;Leszek Fronk;ilina II;Ametystová 626/6;19420
1020575501;Ján Nedbal;Luèenec;Ulica Adyho 2969/26;20655
1020668935;Ondrej Kušnír;Prievidza;Sneienková 627/22;24047
1020683114;Klára Nováková;Spišská Nová Ves;Fraòa Krá¾a 2544/12;24651
1020689879;Mgr. Jolana Turanová;Smiany;Tatranská 197/96;24901
1020690781;Pavol Hajdók;Krá¾ovskı Chlmec;Rákócziho 417/15;24936
1020705356;Pavol Poljak;Komárov;86;25503
1020735221;Peter Sliva;Vysoké Tatry;Dolnı Smokovec 59;26605
1020745715;Ladislav Kokoška CSc.;Kapušany;Hlavná 127/54;27026
1020748223;Ján Iskra;Ovèie;67;27120
1020755824;Ladislav Jurièko;Prešov II;17.novembra 190;27411
1020757276;Jozef Novotnı;Jarovnice;205;27476
1020772005;Pavol Berta;So¾;35;28098
1020775899;Vladimír Marcinèin;Banské;205;28235
1020780574;Viera Mièová;Piešany;Mateja Bela 4668/27;28270
1020785700;¼ubomír Jurica;Piešany;Komenského 1;28284
1020786569;Michaela Rabatinová;Dubovany;308;28288
1020802178;Peter Korsch;Horná Ves;85;28306
1020803894;Igor Gaboviè;Piešany;Sasinkova 5146/43;28314
1020806138;Ivan Románek;Piešany;Jána Kupeckého 51;28318
1020815774;Tibor Nagy;Dunajská Streda;Hlavná 46/20;28330
1020834111;Jarmila Ihringová;Kováèová;Športová 267/1;28353
1020845848;Tomáš Motyèka;Piešany;Robotnícka 5226/46;28384
1020858278;Ján Víazka;Lovèica-Trubín;87;28399
1020863327;Ing.Milan Hric;Bratislava 5 - Petralka;Vyšehradská 6;28411
1020906722;Ing. Július Mokèay;Ruská;147;28454
1020922375;Barnabáš Tuca;Ve¾ké Raškovce;93;28467
1020965605;¼udovít Majerník;Abranovce;16;28516
1020984393;Ing. Darina Svobodová;Prešov II;Pod Kamennou baòou 4154/57;28551
1020991202;Jozef Jankaniè;Prešov II;Jurkovièova 2;28563
1020998341;Ing. arch. Eva Kupèihová;Prešov II;Horárska 47;28584
1021000860;Zuzana Nehilová;Raòany;21;28589
1021001784;Peter Pavlík;Široké;628;28595
1021030307;Miloslav Hakuèa;Prešov I;Októbrová 4733/67;28653
1021120364;Pavol Škorvánek;Èadca;Rieka 1003;28724
1021131452;František Papík;Koròa;Niná 453;28765
1021137084;Anton Kamenišák;Olešná;282;28778
1021143200;Jaroslav Èerneckı;Èadca;SNP 740/48;28795
1021154409;Pavol Kovalíèek;Raková;1466;28837
1021206263;Danica Kubalová;Ochodnica;275;28894
1021260130;Jozef Valek;Krásno nad Kysucou;1434;28955
1021267203;Miroslav Mikula;Skalité;911;28962
1021274485;Rudolf Cyprich;Svrèinovec;847;28972
1021279270;Jozef Bitala;Vysoká nad Kysucou;Vyšnı Kelèov 654;28988
